              # Time               Num_Z          Analytic_Z      Kinetic_Energy
            2.270000            2.824043          -15.274978            0.985333
            2.280000            2.809466          -15.498156            1.127858
            2.290000            2.793907          -15.722314            1.280007
            2.300000            2.777367          -15.947454            1.441779
            2.310000            2.759847          -16.173574            1.613175
            2.320000            2.741345          -16.400676            1.794194
            2.330000            2.721863          -16.628758            1.984837
            2.340000            2.701399          -16.857822            2.185104
            2.350000            2.679955          -17.087866            2.394994
            2.360000            2.657529          -17.318892            2.614508
            2.370000            2.634122          -17.550898            2.843646
            2.380000            2.609735          -17.783886            3.082407
            2.390000            2.584366          -18.017854            3.330792
            2.400000            2.558017          -18.252804            3.588800
            2.410000            2.530686          -18.488734            3.856432
            2.420000            2.502374          -18.725646            4.133688
            2.430000            2.473082          -18.963538            4.420567
            2.440000            2.442808          -19.202412            4.717070
            2.450000            2.411554          -19.442267            5.023196
            2.460000            2.379318          -19.683102            5.338946
            2.470000            2.346101          -19.924919            5.664320
            2.480000            2.311904          -20.167716            5.999317
            2.490000            2.276725          -20.411495            6.343938
            2.500000            2.240566          -20.656254            6.698182
            2.510000            2.203425          -20.901995            7.062050
            2.520000            2.165303          -21.148716            7.435542
            2.530000            2.126201          -21.396419            7.818657
            2.540000            2.086117          -21.645102            8.211396
            2.550000            2.045053          -21.894767            8.613759
            2.560000            2.003007          -22.145412            9.025745
            2.570000            1.959980          -22.397039            9.447355
            2.580000            1.915973          -22.649646            9.878588
            2.590000            1.870984          -22.903235           10.319445
            2.600000            1.825015          -23.157805           10.769926
            2.610000            1.778064          -23.413355           11.230030
            2.620000            1.730132          -23.669887           11.699758
            2.630000            1.681220          -23.927399           12.179109
            2.640000            1.631326          -24.185893           12.668084
            2.650000            1.580452          -24.445367           13.166683
            2.660000            1.528596          -24.705823           13.674905
            2.670000            1.475759          -24.967259           14.192751
            2.680000            1.421942          -25.229677           14.720220
            2.690000            1.367143          -25.493075           15.257313
            2.700000            1.311364          -25.757455           15.804030
            2.710000            1.254603          -26.022815           16.360370
            2.720000            1.196861          -26.289157           16.926334
            2.730000            1.138139          -26.556480           17.501922
            2.740000            1.078435          -26.824783           18.087133
            2.750000            1.017751          -27.094068           18.681968
            2.760000            0.956085          -27.364333           19.286426
            2.770000            0.893438          -27.635580           19.900508
            2.780000            0.829811          -27.907807           20.524214
            2.790000            0.765202          -28.181016           21.157543
            2.800000            0.699613          -28.455205           21.800496
            2.810000            0.633042          -28.730376           22.453072
            2.820000            0.565490          -29.006527           23.115272
            2.830000            0.496958          -29.283660           23.787096
            2.840000            0.453703          -29.561773            1.811158
            2.850000            0.461207          -29.840868            3.099548
            2.860000            0.493741          -30.120944            5.788985
            2.870000            0.527228          -30.402000            5.459998
            2.880000            0.559734          -30.684038            5.140634
            2.890000            0.591259          -30.967056            4.830894
            2.900000            0.621803          -31.251056            4.530777
            2.910000            0.651365          -31.536036            4.240284
            2.920000            0.679947          -31.821998            3.959415
            2.930000            0.707548          -32.108940            3.688169
            2.940000            0.734168          -32.396864            3.426547
            2.950000            0.759807          -32.685768            3.174549
            2.960000            0.784465          -32.975654            2.932174
            2.970000            0.808142          -33.266520            2.699423
            2.980000            0.830837          -33.558368            2.476295
            2.990000            0.852552          -33.851197            2.262791
            3.000000            0.873286          -34.145006            2.058910
